transaction_id,timestamp,date,hour,day_of_week,is_weekend,event_id,event_name,region,vendor_name,vendor_category,customer_id,amount,payment_method
TXN014884,2026-01-01 18:06:00,2026-01-01,18,Thursday,False,6,Ang Mo Kio Community Bazaar,Central Singapore,Kopi Kaki,Drinks,C0023,1.83,cash
TXN000715,2026-01-01 18:08:00,2026-01-01,18,Thursday,False,6,Ang Mo Kio Community Bazaar,Central Singapore,Ice Ice Baby,Desserts,C0222,8.52,qr_code
TXN011317,2026-01-01 18:09:00,2026-01-01,18,Thursday,False,5,Toa Payoh Night Market,Central Singapore,Ice Ice Baby,Desserts,C0144,4.25,qr_code
TXN013343,2026-01-01 18:12:00,2026-01-01,18,Thursday,False,3,Tampines Round Market Night,Eastern Singapore,Sugar Rush,Drinks,C0446,3.37,cash
TXN002863,2026-01-01 18:28:00,2026-01-01,18,Thursday,False,8,Clementi Night Bazaar,Western Singapore,Fun Zone,Games & Entertainment,C0410,5.39,wallet
TXN014634,2026-01-01 18:51:00,2026-01-01,18,Thursday,False,5,Toa Payoh Night Market,Central Singapore,Mala Majik,Trendy Food,C0333,16.36,wallet
TXN012835,2026-01-01 18:56:00,2026-01-01,18,Thursday,False,5,Toa Payoh Night Market,Central Singapore,Street Fusion,Trendy Food,C0085,9.8,cash
TXN014350,2026-01-01 19:01:00,2026-01-01,19,Thursday,False,4,Jurong East Street Festival,Western Singapore,Jelly Bliss,Desserts,C0412,6.05,wallet
TXN007039,2026-01-01 19:09:00,2026-01-01,19,Thursday,False,1,Geylang Serai Ramadan Bazaar,Eastern Singapore,Nasi Lemak Bros,Hot Food,C0378,4.8,qr_code
TXN011100,2026-01-01 19:11:00,2026-01-01,19,Thursday,False,5,Toa Payoh Night Market,Central Singapore,Jelly Bliss,Desserts,C0027,7.7,qr_code
TXN003458,2026-01-01 19:14:00,2026-01-01,19,Thursday,False,8,Clementi Night Bazaar,Western Singapore,K-Food Craze,Trendy Food,C0059,11.3,cash
TXN001570,2026-01-01 19:14:00,2026-01-01,19,Thursday,False,2,Woodlands Pasar Malam,Northern Singapore,Tornado Bites,Trendy Food,C0039,8.48,wallet
TXN011238,2026-01-01 19:16:00,2026-01-01,19,Thursday,False,1,Geylang Serai Ramadan Bazaar,Eastern Singapore,Win It Stall,Games & Entertainment,C0319,3.93,wallet
TXN012117,2026-01-01 19:17:00,2026-01-01,19,Thursday,False,7,Bedok Food Carnival,Eastern Singapore,Jelly Bliss,Desserts,C0248,5.01,qr_code
TXN012969,2026-01-01 19:18:00,2026-01-01,19,Thursday,False,1,Geylang Serai Ramadan Bazaar,Eastern Singapore,Mak Cik Stall,Hot Food,C0407,10.39,wallet
TXN012761,2026-01-01 19:19:00,2026-01-01,19,Thursday,False,8,Clementi Night Bazaar,Western Singapore,Mak Cik Stall,Hot Food,C0474,9.14,wallet
TXN003540,2026-01-01 19:25:00,2026-01-01,19,Thursday,False,2,Woodlands Pasar Malam,Northern Singapore,Snack Attack,Snacks,C0133,4.64,wallet
TXN000707,2026-01-01 19:32:00,2026-01-01,19,Thursday,False,8,Clementi Night Bazaar,Western Singapore,Kueh Corner,Desserts,C0342,4.56,wallet
TXN012839,2026-01-01 19:36:00,2026-01-01,19,Thursday,False,8,Clementi Night Bazaar,Western Singapore,Lucky Strike,Games & Entertainment,C0340,7.74,wallet
