week_day,is_rain,is_public_holiday,is_food_vendor,temperature,yesterday_customer_count,yesterday_revenue,event_location_rating,today_revenue
6,0,0,0,28.7,192,3840.02,3,4452.73
6,0,0,1,25.6,1654,11577.15,10,10098.08
4,0,0,0,31.0,168,3356.33,10,3843.0
1,0,0,1,28.0,619,4332.3,7,4289.82
2,0,0,1,29.3,532,3726.47,3,4354.38
6,0,0,0,27.9,231,4613.75,6,4874.31
1,0,0,1,29.6,698,4888.16,10,4860.49
3,1,0,1,30.9,472,3304.79,7,4037.22
1,0,0,1,31.1,476,3332.1,6,3971.19
5,0,0,1,31.8,1038,7262.64,5,7440.76
1,1,0,0,26.2,126,2511.44,8,2158.1
6,1,0,0,27.6,217,4345.39,5,4080.14
6,1,0,1,28.1,888,6218.0,3,7114.89
5,1,0,0,34.7,238,4755.9,9,4284.39
2,1,0,1,34.4,488,3415.68,4,2922.51
7,0,0,0,25.9,221,4429.12,4,5042.3
5,1,0,1,25.5,645,4512.5,7,4966.76
6,0,0,0,33.3,244,4873.4,9,5169.61
5,0,0,1,27.8,1098,7684.76,7,6856.01
3,0,1,1,25.7,857,5998.3,2,5020.53
7,0,0,1,32.7,1311,9177.74,7,8407.58
5,0,0,1,32.7,1032,7226.72,9,8710.9
3,1,0,0,28.6,71,1418.47,2,1718.48
6,1,0,1,28.1,958,6706.06,6,7210.25
1,0,0,0,32.3,140,2802.03,5,2833.52
5,1,0,0,26.2,190,3797.65,5,3499.18
7,0,0,0,32.6,249,4980.12,3,4992.51
5,1,1,1,30.2,1228,8597.41,10,8854.03
3,0,0,0,25.3,128,2551.52,5,2542.8
2,0,0,1,34.1,488,3412.56,2,3792.93
6,0,0,1,29.1,825,5773.5,3,6949.39
2,1,1,0,27.9,159,3188.3,9,3688.08
7,0,1,1,34.3,1484,10387.5,4,9043.74
6,0,1,1,33.0,1611,11275.22,8,12891.45
5,0,0,0,33.9,228,4562.91,1,3938.85
5,0,0,0,28.2,162,3245.17,1,3844.89
2,0,0,0,27.3,224,4486.25,9,3920.55
2,0,0,1,25.1,722,5056.48,10,5034.84
5,0,0,1,29.2,874,6118.18,4,6543.19
1,0,0,1,34.4,555,3887.92,8,4183.79
7,1,0,1,30.2,746,5224.96,2,4395.48
1,0,0,1,34.6,520,3639.38,4,4040.56
2,0,0,1,30.0,458,3207.7,5,3937.01
4,0,1,1,31.1,982,6872.67,9,6865.31
1,0,1,1,25.5,579,4051.22,2,4522.33
7,1,0,1,26.4,730,5110.39,4,5132.04
7,0,0,0,34.9,300,6000.6,7,5432.14
3,1,0,0,27.4,135,2692.53,9,2467.3
6,1,0,0,28.7,193,3863.67,1,3809.16
5,1,0,0,25.9,175,3490.34,1,3077.57
5,0,0,1,28.2,765,5352.12,1,6635.12
5,0,0,1,30.1,925,6478.13,4,7273.91
4,0,0,0,31.5,203,4061.32,10,4254.05
1,0,0,1,34.4,499,3492.25,9,4084.46
3,1,0,1,28.4,495,3466.94,4,3258.42
3,0,0,0,33.2,166,3320.66,6,3248.92
7,1,0,1,30.3,1141,7986.19,10,6891.26
1,0,0,0,34.0,136,2729.5,6,2591.53
1,1,0,0,28.4,163,3260.15,9,2813.28
6,0,1,1,33.9,1715,12003.35,9,10794.86
1,1,0,1,31.4,299,2094.92,2,2606.66
2,0,0,1,26.0,629,4399.69,3,4129.61
3,0,0,0,25.1,162,3232.41,5,3001.98
5,0,0,1,31.5,649,4543.31,2,5106.52
6,0,0,0,32.1,240,4803.5,3,4372.4
6,1,0,1,31.5,951,6654.97,7,5839.28
5,0,0,1,31.6,759,5313.19,3,5610.04
5,0,0,1,27.7,1004,7025.12,7,7826.6
2,0,0,1,34.7,522,3651.87,1,3469.86
3,0,0,0,32.9,173,3459.3,9,3455.65
7,0,0,0,30.8,223,4456.56,4,4092.41
7,0,0,0,27.8,225,4504.86,7,5563.44
1,0,1,1,31.5,955,6686.69,7,5634.87
7,1,0,0,34.6,191,3820.34,3,3347.64
7,1,0,0,27.9,225,4490.15,8,4844.95
2,0,0,0,26.7,134,2685.54,4,2625.88
2,0,0,0,34.4,101,2028.32,2,2417.92
7,0,0,0,31.2,420,8392.61,9,7017.11
3,1,0,1,26.4,532,3723.4,3,3396.31
5,1,0,0,32.0,202,4044.56,7,3741.52
3,1,0,1,28.6,750,5253.02,9,4673.32
1,0,0,0,33.7,153,3055.36,7,2621.96
1,0,0,1,30.1,676,4730.83,4,4463.11
3,0,1,1,32.0,1172,8205.49,10,7337.36
3,1,0,1,33.9,413,2887.63,9,3447.53
3,1,0,1,30.8,412,2882.48,9,3539.49
2,0,0,0,29.7,113,2265.5,3,2186.07
5,0,0,1,25.3,804,5627.5,5,6905.42
